marker_guess	transcript_id	TPM	stitle
Piwi	dd_Smed_v6_756_0_1	19135.948	sp|A9ZSZ2|AGO3_BOMMO
Piwi	dd_Smed_v6_659_0_1	14806.434	sp|Q8UVX0|PIWL1_DANRE
Piwi	dd_Smed_v6_1258_0_1	14151.070	sp|A9ZSZ2|AGO3_BOMMO
Argonaute/Ago	dd_Smed_v6_756_0_1	19135.948	sp|Q7PLK0|AGO3_DROME
Argonaute/Ago	dd_Smed_v6_659_0_1	14806.434	sp|Q7PLK0|AGO3_DROME
Argonaute/Ago	dd_Smed_v6_1258_0_1	14151.070	sp|Q7PLK0|AGO3_DROME
Argonaute/Ago	dd_Smed_v6_7594_0_1	3932.123	sp|Q6DCX2|AGO2_XENLA
Argonaute/Ago	dd_Smed_v6_1194_0_3	3713.029	sp|O77503|AGO2_RABIT
Argonaute/Ago	dd_Smed_v6_3861_0_1	3568.683	sp|Q9UKV8|AGO2_HUMAN
Argonaute/Ago	dd_Smed_v6_1194_0_2	665.743	sp|O77503|AGO2_RABIT
Argonaute/Ago	dd_Smed_v6_1194_0_1	58.532	sp|O77503|AGO2_RABIT
Nanos	dd_Smed_v6_10484_0_1	96.000	sp|Q8WY41|NANO1_HUMAN
Vasa/DDX4	dd_Smed_v6_594_0_1	24317.173	sp|Q5W5U4|DDX4_BOVIN
Vasa/DDX4	dd_Smed_v6_596_0_1	23226.505	sp|Q5W5U4|DDX4_BOVIN
Vasa/DDX4	dd_Smed_v6_349_0_1	16048.983	sp|Q61496|DDX4_MOUSE
Vasa/DDX4	dd_Smed_v6_283_0_1	11802.772	sp|Q3MSQ8|DDX4_PELLE
Vasa/DDX4	dd_Smed_v6_799_0_1	8850.117	sp|Q3MSQ8|DDX4_PELLE
Vasa/DDX4	dd_Smed_v6_794_0_1	8502.457	sp|Q91372|DDX4_XENLA
Vasa/DDX4	dd_Smed_v6_724_0_1	7909.328	sp|Q6GWX0|DDX4_PIG
Vasa/DDX4	dd_Smed_v6_1034_0_1	7399.022	sp|Q3MSQ8|DDX4_PELLE
Vasa/DDX4	dd_Smed_v6_2411_0_1	5003.672	sp|Q61496|DDX4_MOUSE
Vasa/DDX4	dd_Smed_v6_737_0_1	4829.545	sp|Q91372|DDX4_XENLA
PL10/DDX3	dd_Smed_v6_594_0_1	24317.173	sp|O00571|DDX3X_HUMAN
PL10/DDX3	dd_Smed_v6_596_0_1	23226.505	sp|Q62095|DDX3Y_MOUSE
PL10/DDX3	dd_Smed_v6_349_0_1	16048.983	sp|Q62167|DDX3X_MOUSE
PL10/DDX3	dd_Smed_v6_283_0_1	11802.772	sp|P16381|DDX3L_MOUSE
PL10/DDX3	dd_Smed_v6_799_0_1	8850.117	sp|O00571|DDX3X_HUMAN
PL10/DDX3	dd_Smed_v6_794_0_1	8502.457	sp|O15523|DDX3Y_HUMAN
PL10/DDX3	dd_Smed_v6_724_0_1	7909.328	sp|Q62095|DDX3Y_MOUSE
PL10/DDX3	dd_Smed_v6_1034_0_1	7399.022	sp|Q5RF43|DDX3Y_PONAB
PL10/DDX3	dd_Smed_v6_2411_0_1	5003.672	sp|O00571|DDX3X_HUMAN
PL10/DDX3	dd_Smed_v6_737_0_1	4829.545	sp|Q62095|DDX3Y_MOUSE
